",""couche"",""min.14C"",""max.14C"",""site"",""level"",""pays"",""lat"",""long"",""alt"",""nb_mamm"",""First_predite"",""proba_value"",""Second_predite"",""proba_value.1"",""MAT.moy"",""MAT.min"",""MAT.max"",""Tp.moy"",""Tp.min"",""Tp.max"",""Tmax.moy"",""Tmax.min"",""Tmax.max"",""Tmin.moy"",""Tmin.min"",""Tmin.max"",""Mta.moy"",""Mta.min"",""Mta.max"",""It.moy"",""It.min"",""It.max"",""Itc.moy"",""Itc.min"",""Itc.max"",""P.moy"",""P.min"",""P.max"",""D.moy"",""D.min"",""D.max"",""MAT_se.fit"",""Tp_se.fit"",""Tmax_se.fit"",""Tmin_se.fit"",""Mta_se.fit"",""It_se.fit"",""Itc_se.fit"",""P_se.fit"",""D_se.fit"",""MAT_df"",""Tp_df"",""Tmax_df"",""Tmin_df"",""Mta_df"",""It_df"",""Itc_df"",""P_df"",""D_df"",""MAT_residual.scale"",""Tp_residual.scale"",""Tmax_residual.scale"",""Tmin_residual.scale"",""Mta_residual.scale"",""It_residual.scale"",""Itc_residual.scale"",""P_residual.scale"",""D_residual.scale"""
"1,""?arska Cave_10"",-13463,-13218,""?arska Cave"",""10"",""Poland"",50.163,19.702,357,8,6,0.999518766428112,8,0.000473714452272642,2.50986337645975,-4.50330097926949,9.52302773218899,928.88980788827,485.646581869269,1372.13303390727,18.458883731931,13.0357674638542,23.8820000000078,-12.8025002514564,-28.3689918644208,2.76399136150794,31.2613839833907,13.8243146294663,48.6984533373151,-218.547657725081,-590.92753702959,153.832221579428,-31.5052337978877,-217.944914497228,154.934446901452,368.540898770472,-316.877484956743,1053.95928249769,0.579845017239393,-2.72266275146006,3.88235278593884,1.66786937708088,105.412017425729,1.28972445148605,3.70201999453212,4.14688042747602,88.5593101530107,44.3390484435371,163.006066123774,0.785401752418047,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"2,""Abri de Rochedane_B"",-13956,-13277.5,""Abri de Rochedane"",""B"",""France"",47.45,6.59,355,4,6,0.799063861095291,8,0.200936137613406,1.06923103321458,-6.59058645106675,8.72904851749591,849.783675437975,365.67093541984,1333.89641545611,17.9090726665316,11.9859146308056,23.8322307022577,-15.2418866455787,-32.2436961823102,1.75992289115284,33.1509593121136,14.1060942644688,52.1958243597584,-269.667353610552,-676.38274848948,137.048041268377,-58.2744476703056,-261.904913683552,145.35601834294,372.505390952545,-376.112415991129,1121.12319789622,-1.22715768395051,-4.83417521063851,2.37985984273749,2.25766414959864,142.687992206835,1.74579897982,5.0111345274416,5.61330725441508,119.875802261908,60.0182972802652,220.648545210926,1.06313684023001,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"3,""Abri de Rochedane_C'1"",-13549.5,-12674,""Abri de Rochedane"",""C'1"",""France"",47.45,6.59,355,5,6,0.661005420284188,8,0.338994578523548,0.76791101072979,-6.79919558670185,8.33501760816143,828.043753276223,349.790489878048,1306.2970166744,17.2247127289386,11.3732458576,23.0761796002772,-15.0519842280785,-31.8480117284319,1.74404327227497,32.2766969570212,13.4623421443947,51.0910517696476,-269.458635998955,-671.251335913934,132.334063916024,-75.3433378092113,-276.509154875868,125.822479257445,379.564137566107,-359.992745806523,1119.12102093874,-1.1571616995106,-4.72052155492016,2.40619815589897,2.18004044319503,137.782049568576,1.68577437984867,4.8388401516921,5.42030878989704,115.754195387241,57.9547296376838,213.062138749681,1.02658374088282,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"4,""Andernach-Martinsberg_Federmesser horizon"",-15092,-12737.5,""Andernach-Martinsberg"",""Federmesser horizon"",""Germany"",50.43,7.4,80,7,6,0.999832443102132,4,0.000164803361837673,5.73736017051203,-1.49475885596397,12.969479196988,1122.51956353882,665.438051449356,1579.60107562827,20.4758802482645,14.8834514449798,26.0683090515492,-8.17980780645507,-24.2322934547673,7.87267784185718,28.6556880547248,10.6742242469533,46.6371518624963,-88.6928514665669,-472.6986259776,295.312923044466,56.7062350112005,-135.554190337922,248.966660360323,431.177172945398,-275.640332336721,1137.99467822752,0.714973286874539,-2.69064050707348,4.12058708082256,1.88225310427733,118.961412538778,1.45550238275899,4.17786831664271,4.67990998872156,99.9425007370223,50.0382780092876,183.95845513664,0.886355314695624,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"5,""Bettenroder Berg IX_IX, 17 base-18a, 3"",-14911,-12970,""Bettenroder Berg IX"",""IX, 17 base-18a, 3"",""Germany"",51.37,10.04,290,9,8,0.978168832527222,6,0.0218309577541909,-1.10468782929615,-7.91656756742728,5.70719190883497,768.146133969582,337.624418345429,1198.66784959373,15.6294336671835,10.3619660947371,20.89690123963,-16.5802595658706,-31.6999777748864,-1.46054135685482,32.2096932330564,15.2730846781249,49.146301787988,-339.777983571345,-701.470199247122,21.914232104433,-118.993530602986,-300.082211677737,62.0951504717662,350.44050164349,-315.305709828052,1016.18671311503,0.588911171756195,-2.61881142157596,3.79663376508835,1.45009013212583,91.64802014895,1.12132084560158,3.21863494634041,3.60540847480114,76.995826846771,38.5495516011889,141.72182259047,0.682849236628505,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"6,""Blenien_10"",-13324,-13030.5,""Blenien"",""10"",""France"",47.452,7.3902,555,5,6,0.999122912347631,8,0.000444724393344616,3.76510581856559,-3.30399827775327,10.8342099148844,1040.54025929484,593.761552026021,1487.31896656367,19.7134208000321,14.2470476365175,25.1797939635466,-11.2225762694915,-26.9132323050404,4.46807976605745,30.9359970695261,13.3598428336818,48.5121513053705,-177.442914813328,-552.793041611333,197.907211984678,21.8656901962668,-166.061106282046,209.792486674579,392.766088421893,-298.119460287665,1083.65163713145,0.953063543375535,-2.37578631835148,4.28191340510255,1.72453187281482,108.993177958903,1.33354023660357,3.82778865185603,4.28776232012294,91.5679339713386,45.8453781224691,168.543868216231,0.812084191736947,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"7,""Bois Ragot_3"",-15269,-13139.5,""Bois Ragot"",""3"",""France"",46.6,0.683,80,9,6,0.991124677954172,8,0.0087968836996513,2.42736308117708,-4.68354471522695,9.5382708775811,975.289531957835,525.868763852358,1424.71030006331,19.5176109576608,14.0189119688129,25.0163099465087,-13.8234502873009,-29.6068942447863,1.95999367018437,33.3410612449634,15.6609690460739,51.0211534438529,-244.543942648808,-622.113731785039,133.025846487423,0.656007837028028,-188.382108453654,189.69412412771,358.889609439058,-336.081545010336,1053.86076388845,0.6948395209685,-2.65369575482968,4.04337479676668,1.76597124195611,111.612212496055,1.36558433332368,3.91976790108858,4.39079443473598,93.768251331174,46.9470124717016,172.5938667588,0.83159804191605,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"8,""Burghöhle Dietfurt_Komplex 12a (Gewöllelage) im Profil E10/E11"",-13159,-12853,""Burghöhle Dietfurt"",""Komplex 12a (Gewöllelage) im Profil E10/E11"",""Germany"",48.0778,9.1394,610,9,6,0.999962986451364,4,3.57467775648794e-05,5.74837511672229,-1.52773640337138,13.024486636816,1104.78542622763,644.923518042683,1564.64733441259,20.146999109074,14.5205519375165,25.7734462806315,-7.92266821324381,-24.0728000520911,8.22746362560343,28.0696673223219,9.97882347961137,46.1605111650325,-80.4954989069156,-466.837154716704,305.846156902873,46.0142295267328,-147.415703058669,239.444162112135,435.599202835489,-275.517825791883,1146.71623146286,0.519185530448667,-2.90714438315198,3.94551544404931,1.92317906559584,121.547998878784,1.48714947319568,4.26870800060031,4.78166559998197,102.115557543221,51.1262637990836,187.958276734504,0.905627400496019,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"9,""Coulet des Roches_allerod"",-13734.5,-11983.5,""Coulet des Roches"",""allerod"",""France"",44.06,5.35,800,8,6,0.994344219576482,4,0.00565268290997701,6.18968042349786,-0.908273406142169,13.2876342531379,1163.59965483135,714.997598184345,1612.20171147835,20.2773291762109,14.7886471874404,25.7660111649814,-6.73292700715467,-22.4876182070033,9.02176419269399,27.0102561833676,9.36237187315923,44.6581404935759,-59.4197269788929,-436.301695848064,317.462241890279,65.5232007818395,-123.170544080374,254.216945644053,453.476792383997,-240.228330569219,1147.18191533721,1.26792532338584,-2.07450991344225,4.61036056021393,1.75320889896828,110.805611967313,1.3557155114388,3.89144047355304,4.35906298677476,93.09060576344,46.6077352166802,171.346563250771,0.825588238819153,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"10,""El Harhoura 2_level2"",-14264.5,-13278.5,""El Harhoura 2"",""level2"",""Maroc"",33.952472,-6.925694,-2,6,4,0.999999999977238,3,2.27616049101971e-11,20.1972816612006,10.9783645112166,29.4161988111846,2455.66453667445,1873.01419929534,3038.31487405356,29.3217530838938,22.1929796751703,36.4505264926173,14.4195982658566,-6.04280489721847,34.8820014289317,14.902154818039,-8.01915281979396,37.8234624558719,452.211417611426,-37.2879127193756,941.710747942228,488.987816888439,243.909863106766,734.065770670112,343.615801163658,-557.377669422147,1244.60927174946,10.1669452354014,5.82574574790513,14.5081447228976,3.39387050784803,214.498054841734,2.62440083096309,7.53306982642502,8.43829581367783,180.205257710115,90.2234856796391,331.693529493331,1.59817781954186,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
