"","couche","min.14C","max.14C","site","level","pays","lat","long","alt","nb_mamm","First_predite","proba_value","Second_predite","proba_value.1","MAT.moy","MAT.min","MAT.max","Tp.moy","Tp.min","Tp.max","Tmax.moy","Tmax.min","Tmax.max","Tmin.moy","Tmin.min","Tmin.max","Mta.moy","Mta.min","Mta.max","It.moy","It.min","It.max","Itc.moy","Itc.min","Itc.max","P.moy","P.min","P.max","D.moy","D.min","D.max","MAT_se.fit","Tp_se.fit","Tmax_se.fit","Tmin_se.fit","Mta_se.fit","It_se.fit","Itc_se.fit","P_se.fit","D_se.fit","MAT_df","Tp_df","Tmax_df","Tmin_df","Mta_df","It_df","Itc_df","P_df","D_df","MAT_residual.scale","Tp_residual.scale","Tmax_residual.scale","Tmin_residual.scale","Mta_residual.scale","It_residual.scale","Itc_residual.scale","P_residual.scale","D_residual.scale"
"1","?arska Cave_10",-13463,-13218,"?arska Cave","10","Poland",50.163,19.702,357,8,6,0.999518766,8,0.000473714,4.294863376,-2.718300979,11.30802773,928.8898079,485.6465819,1372.133034,20.24388373,14.82076746,25.667,-11.01750025,-26.58399186,4.548991362,31.26138398,13.82431463,48.69845334,-218.5476577,-590.927537,153.8322216,-31.5052338,-217.9449145,154.9344469,368.5408988,-316.877485,1053.959282,0.579845017,-2.722662751,3.882352786,1.667869377,105.4120174,1.289724451,3.702019995,4.146880427,88.55931015,44.33904844,163.0060661,0.785401752,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"2","Abri de Rochedane_B",-13956,-13277.5,"Abri de Rochedane","B","France",47.45,6.59,355,4,6,0.799063861,8,0.200936138,2.844231033,-4.815586451,10.50404852,849.7836754,365.6709354,1333.896415,19.68407267,13.76091463,25.6072307,-13.46688665,-30.46869618,3.534922891,33.15095931,14.10609426,52.19582436,-269.6673536,-676.3827485,137.0480413,-58.27444767,-261.9049137,145.3560183,372.505391,-376.112416,1121.123198,-1.227157684,-4.834175211,2.379859843,2.25766415,142.6879922,1.74579898,5.011134527,5.613307254,119.8758023,60.01829728,220.6485452,1.06313684,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"3","Abri de Rochedane_C'1",-13549.5,-12674,"Abri de Rochedane","C'1","France",47.45,6.59,355,5,6,0.66100542,8,0.338994579,2.542911011,-5.024195587,10.11001761,828.0437533,349.7904899,1306.297017,18.99971273,13.14824586,24.8511796,-13.27698423,-30.07301173,3.519043272,32.27669696,13.46234214,51.09105177,-269.458636,-671.2513359,132.3340639,-75.34333781,-276.5091549,125.8224793,379.5641376,-359.9927458,1119.121021,-1.1571617,-4.720521555,2.406198156,2.180040443,137.7820496,1.68577438,4.838840152,5.42030879,115.7541954,57.95472964,213.0621387,1.026583741,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"4","Andernach-Martinsberg_Federmesser horizon",-15092,-12737.5,"Andernach-Martinsberg","Federmesser horizon","Germany",50.43,7.4,80,7,6,0.999832443,4,0.000164803,6.137360171,-1.094758856,13.3694792,1122.519564,665.4380514,1579.601076,20.87588025,15.28345144,26.46830905,-7.779807806,-23.83229345,8.272677842,28.65568805,10.67422425,46.63715186,-88.69285147,-472.698626,295.312923,56.70623501,-135.5541903,248.9666604,431.1771729,-275.6403323,1137.994678,0.714973287,-2.690640507,4.120587081,1.882253104,118.9614125,1.455502383,4.177868317,4.679909989,99.94250074,50.03827801,183.9584551,0.886355315,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"5","Bettenroder Berg IX_IX, 17 base-18a, 3",-14911,-12970,"Bettenroder Berg IX","IX, 17 base-18a, 3","Germany",51.37,10.04,290,9,8,0.978168833,6,0.021830958,0.345312171,-6.466567567,7.157191909,768.146134,337.6244183,1198.66785,17.07943367,11.81196609,22.34690124,-15.13025957,-30.24997777,-0.010541357,32.20969323,15.27308468,49.14630179,-339.7779836,-701.4701992,21.9142321,-118.9935306,-300.0822117,62.09515047,350.4405016,-315.3057098,1016.186713,0.588911172,-2.618811422,3.796633765,1.450090132,91.64802015,1.121320846,3.218634946,3.605408475,76.99582685,38.5495516,141.7218226,0.682849237,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"6","Blenien_10",-13324,-13030.5,"Blenien","10","France",47.452,7.3902,555,5,6,0.999122912,8,0.000444724,6.540105819,-0.528998278,13.60920991,1040.540259,593.761552,1487.318967,22.4884208,17.02204764,27.95479396,-8.447576269,-24.13823231,7.243079766,30.93599707,13.35984283,48.51215131,-177.4429148,-552.7930416,197.907212,21.8656902,-166.0611063,209.7924867,392.7660884,-298.1194603,1083.651637,0.953063543,-2.375786318,4.281913405,1.724531873,108.993178,1.333540237,3.827788652,4.28776232,91.56793397,45.84537812,168.5438682,0.812084192,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"7","Bois Ragot_3",-15269,-13139.5,"Bois Ragot","3","France",46.6,0.683,80,9,6,0.991124678,8,0.008796884,2.827363081,-4.283544715,9.938270878,975.289532,525.8687639,1424.7103,19.91761096,14.41891197,25.41630995,-13.42345029,-29.20689424,2.35999367,33.34106124,15.66096905,51.02115344,-244.5439426,-622.1137318,133.0258465,0.656007837,-188.3821085,189.6941241,358.8896094,-336.081545,1053.860764,0.694839521,-2.653695755,4.043374797,1.765971242,111.6122125,1.365584333,3.919767901,4.390794435,93.76825133,46.94701247,172.5938668,0.831598042,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"8","Burghöhle Dietfurt_Komplex 12a (Gewöllelage) im Profil E10/E11",-13159,-12853,"Burghöhle Dietfurt","Komplex 12a (Gewöllelage) im Profil E10/E11","Germany",48.0778,9.1394,610,9,6,0.999962986,4,3.57e-05,8.798375117,1.522263597,16.07448664,1104.785426,644.923518,1564.647334,23.19699911,17.57055194,28.82344628,-4.872668213,-21.02280005,11.27746363,28.06966732,9.97882348,46.16051117,-80.49549891,-466.8371547,305.8461569,46.01422953,-147.4157031,239.4441621,435.5992028,-275.5178258,1146.716231,0.51918553,-2.907144383,3.945515444,1.923179066,121.5479989,1.487149473,4.268708001,4.7816656,102.1155575,51.1262638,187.9582767,0.9056274,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"9","Coulet des Roches_allerod",-13734.5,-11983.5,"Coulet des Roches","allerod","France",44.06,5.35,800,8,6,0.99434422,4,0.005652683,10.18968042,3.091726594,17.28763425,1163.599655,714.9975982,1612.201711,24.27732918,18.78864719,29.76601116,-2.732927007,-18.48761821,13.02176419,27.01025618,9.362371873,44.65814049,-59.41972698,-436.3016958,317.4622419,65.52320078,-123.1705441,254.2169456,453.4767924,-240.2283306,1147.181915,1.267925323,-2.074509913,4.61036056,1.753208899,110.805612,1.355715511,3.891440474,4.359062987,93.09060576,46.60773522,171.3465633,0.825588239,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"10","El Harhoura 2_level2",-14264.5,-13278.5,"El Harhoura 2","level2","Maroc",33.952472,-6.925694,-2,6,4,1,3,2.28e-11,20.18728166,10.96836451,29.40619881,2455.664537,1873.014199,3038.314874,29.31175308,22.18297968,36.44052649,14.40959827,-6.052804897,34.87200143,14.90215482,-8.01915282,37.82346246,452.2114176,-37.28791272,941.7107479,488.9878169,243.9098631,734.0657707,343.6158012,-557.3776694,1244.609272,10.16694524,5.825745748,14.50814472,3.393870508,214.4980548,2.624400831,7.533069826,8.438295814,180.2052577,90.22348568,331.6935295,1.59817782,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
