;couche;min.14C;max.14C;site;level;pays;lat;long;alt;nb_mamm;First_predite;proba_value;Second_predite;proba_value.1;MAT.moy;MAT.min;MAT.max;Tp.moy;Tp.min;Tp.max;Tmax.moy;Tmax.min;Tmax.max;Tmin.moy;Tmin.min;Tmin.max;Mta.moy;Mta.min;Mta.max;It.moy;It.min;It.max;Itc.moy;Itc.min;Itc.max;P.moy;P.min;P.max;D.moy;D.min;D.max;MAT_se.fit;Tp_se.fit;Tmax_se.fit;Tmin_se.fit;Mta_se.fit;It_se.fit;Itc_se.fit;P_se.fit;D_se.fit;MAT_df;Tp_df;Tmax_df;Tmin_df;Mta_df;It_df;Itc_df;P_df;D_df;MAT_residual.scale;Tp_residual.scale;Tmax_residual.scale;Tmin_residual.scale;Mta_residual.scale;It_residual.scale;Itc_residual.scale;P_residual.scale;D_residual.scale
1; Grodno district_NA;-14876.5;-14182.5; Grodno district;NA;belarus;53.6165;23.9833;122;3;7;0.99763228;9;0.00236772;-5.035091299;-11.65357178;1.58338918;481.8368911;63.53831858;900.1354636;11.96081287;6.842896428;17.07872931;-21.1730573;-35.86350453;-6.482610076;33.13387017;16.67811678;49.58962356;-491.4120364;-842.8352794;-139.9887933;-268.094497;-444.0418047;-92.14718923;236.8701716;-409.9745282;883.7148714;2.500452495;-0.616198148;5.617103137;1.212006935;76.60078056;0.937216667;2.690183037;3.013454114;64.35425911;32.22028952;118.4532106;0.570735565;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
2;Abri de Rochedane_D1 SOM;-14961;-11620;Abri de Rochedane;D1 SOM;France;47.45;6.59;355;2;6;0.799063861;8;0.200936138;1.069231033;-6.590586451;8.729048517;849.7836754;365.6709354;1333.896415;17.90907267;11.98591463;23.8322307;-15.24188665;-32.24369618;1.759922891;33.15095931;14.10609426;52.19582436;-269.6673536;-676.3827485;137.0480413;-58.27444767;-261.9049137;145.3560183;372.505391;-376.112416;1121.123198;-1.227157684;-4.834175211;2.379859843;2.257664497;142.6880142;1.745799248;5.011135298;5.613308118;119.8758207;60.01830651;220.6485792;1.063137004;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
3;Atxurra-Armiœa_Unit 4;-14721.5;-14058.5;Atxurra-Armi§a;Unit 4;;43.326;-2.4;50;3;6;0.993083037;4;0.006849861;4.01982834;-2.910198465;10.94985515;1055.91951;617.9307104;1493.90831;19.96183406;14.60300612;25.320662;-10.97940817;-26.36136683;4.402550478;30.94124223;13.7108806;48.17160386;-175.019982;-542.9854844;192.9455204;28.46999734;-155.7595343;212.699529;380.8095273;-296.4835648;1058.102619;1.580480448;-1.682877745;4.843838642;1.580800791;99.90914327;1.222396347;3.508761667;3.930398838;83.93620597;42.02439581;154.4965822;0.744401048;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
4;Blenien_16;-15041;-13282.5;Blenien;16;France;47.452;7.3902;555;7;6;0.999816729;4;0.000108609;5.305741977;-1.754342832;12.36582679;1175.94699;729.7383162;1622.155664;18.98324131;13.52384255;24.44264007;-7.199341415;-22.86997815;8.471295318;26.18258273;8.628853454;43.736312;-82.13545787;-457.0066851;292.7357694;13.29498679;-174.3920387;200.9820123;426.9956491;-263.0084166;1116.999715;1.506032766;-1.818569902;4.830635434;1.715492437;108.4218711;1.326550252;3.807724627;4.265287263;91.0879646;45.60507154;167.660416;0.80782751;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
5;Bois Ragot_4;-15209.5;-14235;Bois Ragot;4;France;46.6;0.683;80;12;6;0.999843037;8;9.45E-05;4.067780447;-2.962026278;11.09758717;1015.062176;570.7671259;1459.357227;18.26123107;12.82524564;23.69721649;-9.087822015;-24.6912532;6.515609172;27.34905308;9.87060524;44.82750093;-125.7181761;-498.9817198;247.5453675;-9.045287649;-195.9273932;177.8368179;432.1648777;-254.8800166;1119.209772;0.749229628;-2.561115053;4.059574309;1.684878175;106.4870007;1.302876958;3.739772896;4.18916998;89.46243087;44.79121449;164.6683889;0.793411216;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
6;Brillenh?hle_IV;-15116.5;-14244;Brillenhîhle;IV;Germany;48.4;9.77;575;5;6;0.993493208;4;0.006506231;6.661072546;-0.506647045;13.82879214;1193.027465;740.0161002;1646.038829;21.28523479;15.74260457;26.82786501;-6.998817673;-22.90836167;8.910726327;28.28405246;10.46270716;46.10539776;-59.87556834;-440.4619087;320.710772;89.32517648;-101.2232385;279.8735914;438.9317024;-261.5918455;1139.45525;1.279608462;-2.095679558;4.654896482;1.821151984;115.0997238;1.408254313;4.042247643;4.527992193;96.69819807;48.41395085;177.9868524;0.857582722;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
7;Broken cavern_14;-15099.5;-14172;Broken cavern;14;UK;50.51;-3.66;80;7;8;0.97666971;6;0.023330215;-1.81615353;-8.693111864;5.060804804;736.2855168;301.6507296;1170.920304;16.68981632;11.37202499;22.00760766;-19.48930439;-34.75347172;-4.225137066;36.17912072;19.08070503;53.2775364;-407.7457582;-772.8934696;-42.59804678;-112.3368065;-295.1555529;70.4819399;292.4448599;-379.6616853;964.5514051;0.523698883;-2.714669301;3.762067068;1.523199901;96.26867471;1.177854923;3.38091014;3.787183783;80.87775597;40.49311963;148.8670679;0.717276717;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
8;Broken cavern_21;-15099.5;-14172;Broken cavern;21;UK;50.51;-3.66;80;4;6;0.938465421;8;0.060533296;0.412223423;-6.371338378;7.195785225;863.2967377;434.564761;1292.028714;18.19356296;12.94799298;23.43913293;-16.52751911;-31.58438254;-1.470655687;34.72108207;17.85488136;51.58728277;-330.8249033;-691.0135139;29.36370723;-54.88601343;-235.2218835;125.4498567;305.6482192;-357.3303922;968.6268306;1.591033168;-1.603354474;4.78542081;1.417327879;89.57739327;1.09598656;3.145915514;3.52395057;75.25624067;37.67859184;138.5198656;0.667421451;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
9;Burgh?hle Dietfurt_E9/E10: 455-370 cm;-14914;-13859.5;Burghîhle Dietfurt;E9/E10: 455-370 cm;Germany;48.0778;9.1394;610;6;6;0.537515683;8;0.462483213;1.194846133;-5.825118828;8.214811094;859.4301028;415.7570677;1303.103138;15.22063943;9.79226441;20.64901444;-11.34443903;-26.92602534;4.237147272;26.56507846;9.111100531;44.01905639;-199.6044472;-572.3454201;173.1365256;-98.47542177;-285.0958914;88.14504788;441.4282914;-244.6547366;1127.511319;0.125450128;-3.180260054;3.43116031;1.674835933;105.8523149;1.295111527;3.717483034;4.164201613;88.92921527;44.52424908;163.6869294;0.788682312;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
10;Burkhardtsh?hle_NA;-15079;-14152;Burkhardtshîhle;NA;Germany;48.39;9.8;525;3;6;0.999996755;8;2.95E-06;4.280327316;-3.133813062;11.69446769;934.0163348;465.4307816;1402.601888;15.57411543;9.840933769;21.3072971;-6.07316755;-22.52966966;10.38333456;21.64728298;3.21325329;40.08131268;-50.76117689;-444.4317882;342.9094344;-76.75224036;-273.851566;120.3470852;486.3700405;-238.2369781;1210.977059;0.183908305;-3.307419568;3.675236179;2.047777851;129.4228418;1.583498805;4.545268744;5.091459803;108.7314129;54.43862846;200.1357039;0.964301123;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
