;couche;min.14C;max.14C;site;level;pays;lat;long;alt;nb_mamm;First_predite;proba_value;Second_predite;proba_value.1;MAT.moy;MAT.min;MAT.max;Tp.moy;Tp.min;Tp.max;Tmax.moy;Tmax.min;Tmax.max;Tmin.moy;Tmin.min;Tmin.max;Mta.moy;Mta.min;Mta.max;It.moy;It.min;It.max;Itc.moy;Itc.min;Itc.max;P.moy;P.min;P.max;D.moy;D.min;D.max;MAT_se.fit;Tp_se.fit;Tmax_se.fit;Tmin_se.fit;Mta_se.fit;It_se.fit;Itc_se.fit;P_se.fit;D_se.fit;MAT_df;Tp_df;Tmax_df;Tmin_df;Mta_df;It_df;Itc_df;P_df;D_df;MAT_residual.scale;Tp_residual.scale;Tmax_residual.scale;Tmin_residual.scale;Mta_residual.scale;It_residual.scale;Itc_residual.scale;P_residual.scale;D_residual.scale
1;Antoliñako Koba_Lmb;-21249;-20625.5;Antoliñako Koba;Lmb;spain;43.371;-2.652;164;6;6;0.999244721;8;0.000706131;3.566893373;-3.639920122;10.77370687;1026.864097;571.3819352;1482.346259;19.98299606;14.41013543;25.55585669;-12.05071335;-28.04703058;3.945603884;32.03370941;14.1151636;49.95225521;-192.987586;-575.6497058;189.6745339;22.73307567;-168.8546212;214.3207726;383.5070167;-320.8373003;1087.851334;0.531363352;-2.862334036;3.92506074;1.858418342;117.4550174;1.437071517;4.124964433;4.620648807;98.67693992;49.40464884;181.6290096;0.875131496;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
2;Arbreda_Level B;-21735;-20209.5;Arbreda;Level B;spain;42.16;2.75;200;5;4;0.87624031;6;0.12375969;11.42609495;4.182006502;18.67018341;1451.176207;993.3382083;1909.014206;23.64710857;18.04542409;29.24879305;0.330605619;-15.74844749;16.40965873;23.31650295;5.30527915;41.32772675;136.7003117;-247.9410067;521.3416301;198.2514652;5.672841714;390.8300887;516.0897154;-191.8975992;1224.07703;2.314008942;-1.09724127;5.725259153;1.893451093;119.6691434;1.464161526;4.202723487;4.707751929;100.5370834;50.33596808;185.0528694;0.891628461;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
3;Arbreda_Level C;-22249.5;-20744.5;Arbreda;Level C;spain;42.16;2.75;200;6;6;0.839058928;4;0.160941072;9.448850949;2.259193507;16.63850839;1332.827517;878.429645;1787.225389;22.1204693;16.56087505;27.68006356;-2.106557744;-18.06479522;13.85167973;24.22702705;6.351136925;42.10291717;69.14629881;-312.6048815;450.8974791;141.2730713;-49.85854487;332.4046875;498.0412835;-204.6263189;1200.708886;1.782144491;-1.60347409;5.167763072;1.842132248;116.4257101;1.424477861;4.088815651;4.580156136;97.81219279;48.97169532;180.0373189;0.867462354;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
5;Arlanpe_II;-21044;-20492;Arlanpe;II;spain;43.198;-2.766;192;8;6;0.997148386;4;0.00284014;5.52336268;-1.471084759;12.51781012;1148.398034;706.3377474;1590.458321;20.78803755;15.37939464;26.19668046;-8.746919696;-24.27186705;6.778027656;29.53495725;12.1444244;46.92549009;-112.2505556;-483.6366177;259.1355065;62.18344238;-123.7586632;248.125548;530.7337743;-152.8553468;1214.322896;1.084641849;-2.2090521;4.378335798;1.648579255;104.1928508;1.27480785;3.659203441;4.09891874;87.53505733;43.8262351;161.1207824;0.77631801;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
6;Askondo_4;-21434;-20837.5;Askondo;4;spain;43.139;-2.66;248;7;6;0.998496486;4;0.001497672;6.750173556;-0.164735526;13.66508264;1265.934217;828.900882;1702.967553;21.54347487;16.19633711;26.89061263;-7.439301105;-22.7877043;7.909102094;28.98277597;11.79000205;46.1755499;-75.34188397;-442.5046765;291.8209086;89.26556471;-94.56207371;273.0932031;589.0874898;-86.72810016;1264.90308;1.123942818;-2.132296421;4.380182056;1.564562955;98.88288598;1.209840007;3.472719999;3.890026152;83.07402118;41.59272518;152.9096079;0.73675463;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
7;Byki_layer 1;-21740;-20039;Byki;layer 1;Russia;51.64833333;35.50944444;153;10;7;0.9999864;6;1.36E-05;1.925088;-4.757552;8.607729;936.8692;514.5156;1359.223;18.37993;13.2124;23.54746;-14.19937;-29.03223;0.6334873;32.5793;15.96402;49.19457;-272.6165;-627.4465;82.21342;-61.5915;-239.2445;116.0615;277.7269;-375.3884;930.8421;2.67617;-0.4706933;5.823034;1.295068;81.85035;1.001446;2.874545;3.219971;68.76456;34.4284;126.571;0.609849;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
8;Cheremukhovo pit 4_stratum 1;-23607.5;-21848.5;Cheremukhovo pit 4;stratum 1;Russia;60.24;60.03;206;9;8;0.999978203;9;1.79E-05;-4.347375671;-11.20525534;2.510503997;706.9527522;273.5237673;1140.381737;15.52054789;10.21750964;20.82358613;-23.00712147;-38.22894159;-7.78530134;38.52766935;21.47668961;55.5786491;-521.5393929;-885.6740793;-157.4047066;-165.3714261;-347.6829806;16.94012836;229.2902638;-440.951664;899.5321916;1.457676826;-1.771707191;4.687060843;1.502064449;94.93288029;1.161511372;3.333997675;3.73463399;79.75552119;39.93124959;146.8014344;0.707324007;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
9;Coimbre_Co.B.4;-20052.5;-18804;Coimbre;Co.B.4;spain;43.327;-4.687;372;6;4;0.800517152;6;0.199478552;6.149748007;-0.927650634;13.22714665;1214.214504;766.9115682;1661.51744;20.75136716;15.27858002;26.2241543;-6.861465007;-22.5705317;8.847601685;27.61283217;10.01605492;45.20960941;-74.51967052;-450.310215;301.2708739;87.92982829;-100.2174724;276.077129;446.1989798;-245.4972206;1137.89518;2.300151152;-1.032604621;5.632906925;1.732813367;109.5165817;1.339944123;3.846170342;4.308352882;92.00765872;46.0655354;169.3532445;0.815983958;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
10;Combe-Saunière I_IV1;-24200.5;-22635.5;Combe-Saunière I;IV1;France;45.23;0.87;130;9;6;0.998300206;8;0.001453869;3.267539523;-3.65722051;10.19229956;989.39703;551.7410988;1427.052961;17.78354912;12.42879385;23.13830439;-10.01174371;-25.38201218;5.35852476;27.79529283;10.57802615;45.0125595;-156.8795536;-524.5654047;210.8062975;-23.28785383;-207.3773723;160.8016647;424.3389439;-252.4394101;1101.117298;0.975507383;-2.285370681;4.236385446;1.575158482;99.55254028;1.218033281;3.49623794;3.916370172;83.63661474;41.87439927;153.9451417;0.741744077;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
11;Combe-Saunière I_IV8;-24296.5;-22639.5;Combe-Saunière I;IV8;France;45.23;0.87;130;4;6;0.525792707;8;0.474205584;-0.505925553;-7.468250506;6.4563994;799.5832511;359.5531568;1239.613345;17.8515024;12.46769905;23.23530574;-18.24463755;-33.6982855;-2.790989599;36.09613995;18.78547433;53.40680556;-366.4481162;-736.128562;3.232329616;-76.74712397;-261.8352775;108.3410296;298.1224514;-382.3272392;978.5721421;0.494421378;-2.784146053;3.772988809;1.615059416;102.0743433;1.248887742;3.584802463;4.015577223;85.75524541;42.93513549;157.8447842;0.760533476;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
12;Cosautsi_layer 3;-22917.5;-19681;Cosautsi;layer 3;Moldova;48.217;28.283;127;8;6;0.999726486;4;0.000192533;2.032370325;-4.685922353;8.750663003;888.6290733;464.0222098;1313.235937;17.71127661;12.51617772;22.90637549;-13.02282161;-27.93481302;1.889169801;30.73409822;14.03017835;47.43801808;-235.8912716;-592.6142699;120.8317268;-58.01668985;-236.6174296;120.5840499;345.3968952;-311.2027615;1001.996552;1.533972727;-1.629679604;4.697625058;1.339321611;84.64727212;1.035666134;2.972772;3.330000929;71.11432082;35.60485408;130.8960702;0.630688203;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
13;Coulet des Roches_LGM;-23668.5;-18063.5;Coulet des Roches;LGM;France;44.06;5.35;800;11;6;0.992870378;8;0.007071121;2.370139212;-4.51183624;9.252114665;927.0473017;492.0954246;1361.999179;16.73722492;11.41555396;22.05889587;-10.74377938;-26.01908275;4.531524001;27.48100429;10.37011438;44.59189421;-180.2551957;-545.6693025;185.158911;-57.74507673;-240.6971995;125.207046;420.3322245;-252.2646594;1092.929108;0.84394966;-2.396781092;4.084680412;1.528719414;96.61751674;1.182123033;3.393161307;3.800907135;81.17082701;40.6398517;149.406507;0.719875863;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
14;Cova Rosa_B6;-19240.5;-18895;Cova Rosa;B6;spain;43.444;-5.133;200;6;6;0.99736445;4;0.002013447;4.072356181;-2.842489308;10.98720167;1084.942058;647.9127418;1521.971374;19.9886881;14.64159951;25.33577668;-10.7349118;-26.08317385;4.613350248;30.7235999;13.53098409;47.91621571;-171.5405949;-538.7000109;195.618821;29.86678529;-153.9591626;213.6927331;548.1535199;-127.655855;1223.962895;1.028610378;-2.227598915;4.284819671;1.564494372;98.87855143;1.209786973;3.472567771;3.889855632;83.07037961;41.59090196;152.9029051;0.736722335;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
15;cueva de Cualventi_level E;-19484;-17572;cueva de Cualventi;level E;spain;43.369;-4.149;145;6;4;0.785308804;6;0.214682815;6.398600234;-0.752092798;13.54929327;1234.188982;782.253723;1686.124241;20.77945049;15.2499865;26.30891447;-6.276461185;-22.14821286;9.59529049;27.05591167;9.276900085;44.83492326;-58.77917396;-438.4614505;320.9031026;95.08800547;-95.00777128;285.1837822;462.0791223;-236.7803671;1160.938612;2.158672559;-1.208597633;5.525942752;1.804745603;114.0628142;1.395567641;4.005831871;4.487200449;95.82706403;47.97779959;176.3834057;0.849856936;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
16;cueva de El Linar_sondeo A - lvl 3;-18686.5;-18329;cueva de El Linar;sondeo A - lvl 3;spain;43.349;-4.177;179;7;6;0.835027522;4;0.164858457;5.20873128;-1.805782977;12.22324554;1146.624441;703.2958992;1589.952983;19.85649656;14.43233645;25.28065668;-7.923023514;-23.49251138;7.646464354;27.77952008;10.33909442;45.21994574;-102.248827;-474.7003823;270.2027284;54.85143877;-131.624128;241.3270056;440.7132861;-244.8370277;1126.2636;1.846247022;-1.456896417;5.149390461;1.669253981;105.4995266;1.290795133;3.705093275;4.150323015;88.63282883;44.37585709;163.1413878;0.786053764;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
18;Deszczowa_Layer 8;-27284.5;-18858;Deszczowa;Layer 8;Poland;50.583;19.517;365;9;6;0.975570342;8;0.024328984;1.848057582;-4.96844977;8.664564934;901.9633657;471.1491775;1332.777554;16.27067947;10.99963347;21.54172546;-11.23402835;-26.36401806;3.895961353;27.50470782;10.55659347;44.45282217;-197.7558833;-559.6938127;164.182046;-72.30115103;-253.5128537;108.9105517;415.2645342;-250.9339484;1081.463017;0.989765307;-2.220136435;4.199667049;1.455386693;91.9827713;1.125416553;3.230391248;3.618577495;77.27705978;38.69035668;142.239472;0.685343394;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
19;El Juyo_6;-20428.5;-16954;El Juyo;6;spain;43.431;-3.889;58;5;6;0.999283857;8;0.000612099;3.803292551;-3.265060809;10.87164591;1065.279359;618.5480994;1512.010618;20.65204524;15.18625261;26.11783788;-12.26960191;-27.9585916;3.419387787;32.92164715;15.3473595;50.49593481;-201.4184708;-576.7287356;173.891794;34.9037098;-153.0031289;222.8105485;523.6570959;-167.155081;1214.469273;0.498918447;-2.829577892;3.827414787;1.723780835;108.9457112;1.332959477;3.826121641;4.285894989;91.52805591;45.82541235;168.470467;0.811730527;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
20;El Portalon _P1;-20712.5;-20218;El Portalon ;P1;spain;42.35;-3.52;1000;6;6;0.604299234;4;0.395700506;8.643053569;1.365599128;15.92050801;1328.128415;868.181632;1788.075198;21.15099799;15.52351237;26.77848361;-2.141595663;-18.29470826;14.01151693;23.29259365;5.198410864;41.38677644;57.88430493;-328.5286563;444.2972661;128.2636151;-65.20201796;321.7292482;528.1076871;-183.1405893;1239.355963;1.67518388;-1.751778416;5.102146176;1.924418546;121.626336;1.488107935;4.271459165;4.784747363;102.1813706;51.15921446;188.079415;0.906211073;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
21;Grotta del Romito_F1-G3;-23790.5;-20684.5;Grotta del Romito;F1-G3;Italie;39.910981;15.929079;296;6;6;0.841253634;4;0.158714113;6.129536604;-1.113226167;13.37229937;1214.526283;756.772069;1672.280497;21.44280763;15.84214827;27.04346699;-7.811151292;-23.8872619;8.264959319;29.25395892;11.24603121;47.26188663;-88.65704983;-473.2279781;295.9138784;100.12493;-92.41845125;292.6683112;437.5826983;-270.2750532;1145.44045;1.628980629;-1.781645318;5.039606575;1.892213205;119.5909069;1.463204296;4.199975859;4.704674126;100.4713549;50.30305977;184.9318868;0.891045538;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
