",""couche"",""min.14C"",""max.14C"",""site"",""level"",""pays"",""lat"",""long"",""alt"",""nb_mamm"",""First_predite"",""proba_value"",""Second_predite"",""proba_value.1"",""MAT.moy"",""MAT.min"",""MAT.max"",""Tp.moy"",""Tp.min"",""Tp.max"",""Tmax.moy"",""Tmax.min"",""Tmax.max"",""Tmin.moy"",""Tmin.min"",""Tmin.max"",""Mta.moy"",""Mta.min"",""Mta.max"",""It.moy"",""It.min"",""It.max"",""Itc.moy"",""Itc.min"",""Itc.max"",""P.moy"",""P.min"",""P.max"",""D.moy"",""D.min"",""D.max"",""MAT_se.fit"",""Tp_se.fit"",""Tmax_se.fit"",""Tmin_se.fit"",""Mta_se.fit"",""It_se.fit"",""Itc_se.fit"",""P_se.fit"",""D_se.fit"",""MAT_df"",""Tp_df"",""Tmax_df"",""Tmin_df"",""Mta_df"",""It_df"",""Itc_df"",""P_df"",""D_df"",""MAT_residual.scale"",""Tp_residual.scale"",""Tmax_residual.scale"",""Tmin_residual.scale"",""Mta_residual.scale"",""It_residual.scale"",""Itc_residual.scale"",""P_residual.scale"",""D_residual.scale"""
"1,""Abeurador_8"",-13099.5,-12062,""Abeurador"",""8"",""France"",43.33,2.6,230,7,6,0.997274085788471,8,0.00271377335948217,2.99485587989409,-4.19206957514628,10.1817813349345,986.038378192916,531.813172241796,1440.26358414404,19.1978927618899,13.6404110923145,24.7553744314652,-12.3709506626615,-28.3231241957817,3.58122287045872,31.5688434245519,13.6997459323981,49.4379409167057,-203.792754469665,-585.3988737291,177.81336478977,-1.03149205132831,-192.090480416981,190.027496314325,386.977317716242,-315.423279146645,1089.37791457913,0.33014319271102,-3.05418889255445,3.71447527797649,1.83952909139292,116.261186458394,1.42246490102342,4.08303765896761,4.57368382062458,97.6739723018796,48.9024923758229,179.782904362095,0.866236524189095,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"2,""Abri de Rochedane_A3"",-12571,-12134,""Abri de Rochedane"",""A3"",""France"",47.45,6.59,355,3,6,0.548016746560979,8,0.451983252375195,0.567030995740879,-6.94306500034607,8.07712699182783,813.55047183502,338.900369802465,1288.20057386758,16.7684727705424,10.9610908662633,22.5758546748215,-14.9253826164115,-31.5948688006532,1.74410356783015,31.6938553869568,13.0212479738112,50.3664628001024,-269.319490924536,-668.085083563686,129.446101714614,-86.7225979018158,-286.372831164636,112.927635361005,384.269968641907,-349.715091193311,1118.25502847713,-1.11049770988407,-4.64701120261211,2.42601578284396,2.13139248638993,134.707420739165,1.64815605057867,4.73086064726544,5.29935371830454,113.171121704005,56.6614604266167,208.307622495154,1.00367535785755,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"3,""Abri de Rochedane_A4"",-12857,-12631,""Abri de Rochedane"",""A4"",""France"",47.45,6.59,355,5,6,0.661005420284188,8,0.338994578523548,0.76791101072979,-6.79919558670185,8.33501760816143,828.043753276223,349.790489878048,1306.2970166744,17.2247127289386,11.3732458576,23.0761796002772,-15.0519842280785,-31.8480117284319,1.74404327227497,32.2766969570212,13.4623421443947,51.0910517696476,-269.458635998955,-671.251335913934,132.334063916024,-75.3433378092113,-276.509154875868,125.822479257445,379.564137566107,-359.992745806523,1119.12102093874,-1.1571616995106,-4.72052155492016,2.40619815589897,2.18004044319503,137.782049568576,1.68577437984867,4.8388401516921,5.42030878989704,115.754195387241,57.9547296376838,213.062138749681,1.02658374088282,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"4,""Alice and Gwendoline Cave_NA"",-12809.5,-12587.5,""Alice and Gwendoline Cave"",NA,""UK"",52.754,-9.043,21,2,9,1,8,2.38026351394204e-17,-11.4820999995404,-18.3112284112256,-4.65297158785523,153.764968512492,-277.846890921623,585.376827946608,4.51819566881977,-0.762609900201316,9.79900123784086,-25.1628036111979,-40.3208071531383,-10.0048000692575,29.680999280019,12.7015047606683,46.6604937993697,-628.017700089229,-990.625773236817,-265.409626941641,-467.630698868121,-649.177922909612,-286.08347482663,314.242208366748,-353.189769664536,981.674186398032,0.139408402182767,-3.07643661285843,3.35525341722396,1.46975325352934,92.8907609321994,1.13652587833084,3.26227941250245,3.65429756312652,78.0398849072395,39.072280841525,143.643560654461,0.69210862481594,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"5,""Broken cavern_lwr7"",-12547.5,-11394.5,""Broken cavern"",""lwr7"",""UK"",50.51,-3.66,80,8,8,0.995135864032803,6,0.00485847573083802,-2.39710552994597,-9.1367234446411,4.34251238474915,682.535529831686,256.580877249714,1108.49018241366,14.7035985617376,9.49200937034128,19.915187753134,-18.364932121076,-33.3242572448313,-3.40560699732062,33.0685306828195,16.3115891601978,49.8254722054413,-389.833715093177,-747.689025240363,-31.9784049459907,-158.919293347866,-338.086948391458,20.2483616957256,324.511009437119,-334.172829086579,983.194847960818,0.523579263682279,-2.65011514762348,3.69727367498804,1.36521497545071,86.2837742329374,1.05568886842649,3.03024517711265,3.39438048254253,72.4891877612616,36.2932096267009,133.42670932119,0.642881420380172,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"6,""Direkli_NA"",-12723,-9550,""Direkli"",NA,""Turkey"",37.85,36.616,1199,4,6,0.690870753903368,4,0.309129245860825,11.1337171572825,4.08756150033476,18.1798728142302,1576.74083361067,1131.41250448544,2022.0691627359,24.4143518208008,18.9657241497014,29.8629794919002,-1.63906286227854,-17.2787823061718,14.0006565816147,26.053414683083,8.53431793350054,43.5725114326655,86.1762165945929,-287.955410728739,460.307843917925,193.355899363046,6.03916982340576,380.672628902686,321.907347949273,-366.735378344468,1010.55007424301,3.70183804480119,0.383794631555717,7.01988145804667,1.70146092525607,107.535057101532,1.31570001146703,3.77658013976932,4.23040023758255,90.3429296463865,45.2320543961014,166.289072693885,0.801220053998354,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"7,""Dufaure_3"",-12691.5,-10728.5,""Dufaure"",""3"",""France"",43.498,-1.38,30,4,6,0.999651299100277,8,0.00021646867118758,3.65882904137794,-3.48603727495464,10.8036953577105,1031.56045405528,579.993453071105,1483.12745503945,20.3040936319796,14.7791353124611,25.8290519514981,-12.2824058138842,-28.1412244508785,3.57641282311002,32.5864994458666,14.8219750225038,50.3510238692294,-198.942721908723,-578.315615736493,180.430171919048,28.1199987646628,-161.820879145648,218.060876674974,369.910059980655,-328.379966330652,1068.20008629196,0.791075934737478,-2.57345045009352,4.15560231956848,1.79910574735559,113.706366336013,1.39120647279625,3.99331358948804,4.47317788382579,95.5276031010198,47.8278682870601,175.832205115716,0.847201121488025,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"8,""Gamssulzenhöhle_120 - 150 cm"",-13108,-12545,""Gamssulzenhöhle"",""120 - 150 cm"",""Austria"",47.6822,14.2978,1300,7,6,0.999743002990419,8,0.000256857613233595,3.53695547319137,-3.89327145382579,10.9671824002085,964.851191926078,495.248943050523,1434.45344080163,18.2950989767935,12.5494779590156,24.0407199945714,-10.539565277096,-27.0317732555597,5.95264270136762,28.8346642538927,10.3606380269225,47.3086904808629,-150.837148872575,-545.361912009979,243.687614264829,-21.7426080135583,-219.269582362168,175.784366335052,422.133613913888,-304.045593177142,1148.31282100492,-0.368381989293084,-3.86728503861745,3.13052106003128,2.06195603880357,130.318925978403,1.59446246671229,4.57673879525092,5.12671151418102,109.484235918928,54.8155448797604,201.521382324192,0.970977648813057,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"9,""Grotta della Serratura_8a"",-12001,-11207,""Grotta della Serratura"",""8a"",""Italie"",39.999,15.386,5,4,4,0.999999993260618,6,6.73938188228279e-09,16.5947938811177,9.00467160145956,24.1849161607759,1791.66156123652,1311.95366983853,2271.3694526345,25.0366637122675,19.1673993511835,30.9059280733515,10.527860779698,-6.31925256524331,27.3749741246393,14.5088029325713,-4.36277655451813,33.3803824196606,380.631785310397,-22.3829844912837,783.646555112078,316.980849176029,115.203177570146,518.758520781912,647.321406694085,-94.4848709479385,1389.12768433611,4.84336548940664,1.26916752077177,8.4175634580415,2.19947735269588,139.010493397068,1.70080448819471,4.88198251559233,5.46863543986574,116.786242213302,58.4714452053376,214.96176842025,1.03573660560552,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"10,""Grotta della Serratura_8b"",-12538,-11405.5,""Grotta della Serratura"",""8b"",""Italie"",39.999,15.386,5,5,4,0.999782765196471,6,0.000217234803310257,10.0645154789653,2.83648853046781,17.2925424274628,1437.35842379813,980.535537594547,1894.18131000171,23.5422999934929,17.953035498576,29.1315644884097,-1.8535290853938,-17.8969319154087,14.1898737446211,25.3958290788896,7.42453954394192,43.3671186138373,62.9798990742784,-320.808597268662,446.768395417218,193.109247297873,0.957606753015739,385.260887842731,480.988393947293,-225.429179815777,1187.40596771036,3.4319361652733,0.0282493359062741,6.83562299464032,1.87841372014402,118.718757308863,1.45253347664235,4.16934638019882,4.67036399721002,99.7386399221825,49.9362108801591,183.583220173693,0.884547343958862,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
