"","couche","min.14C","max.14C","site","level","pays","lat","long","alt","nb_mamm","First_predite","proba_value","Second_predite","proba_value.1","MAT.moy","MAT.min","MAT.max","Tp.moy","Tp.min","Tp.max","Tmax.moy","Tmax.min","Tmax.max","Tmin.moy","Tmin.min","Tmin.max","Mta.moy","Mta.min","Mta.max","It.moy","It.min","It.max","Itc.moy","Itc.min","Itc.max","P.moy","P.min","P.max","D.moy","D.min","D.max","MAT_se.fit","Tp_se.fit","Tmax_se.fit","Tmin_se.fit","Mta_se.fit","It_se.fit","Itc_se.fit","P_se.fit","D_se.fit","MAT_df","Tp_df","Tmax_df","Tmin_df","Mta_df","It_df","Itc_df","P_df","D_df","MAT_residual.scale","Tp_residual.scale","Tmax_residual.scale","Tmin_residual.scale","Mta_residual.scale","It_residual.scale","Itc_residual.scale","P_residual.scale","D_residual.scale"
"1","Abeurador_8",-13099.5,-12062,"Abeurador","8","France",43.33,2.6,230,7,6,0.997274086,8,0.002713773,4.14485588,-3.042069575,11.33178133,986.0383782,531.8131722,1440.263584,20.34789276,14.79041109,25.90537443,-11.22095066,-27.1731242,4.73122287,31.56884342,13.69974593,49.43794092,-203.7927545,-585.3988737,177.8133648,-1.031492051,-192.0904804,190.0274963,386.9773177,-315.4232791,1089.377915,0.330143193,-3.054188893,3.714475278,1.839529091,116.2611865,1.422464901,4.083037659,4.573683821,97.6739723,48.90249238,179.7829044,0.866236524,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"2","Abri de Rochedane_A3",-12571,-12134,"Abri de Rochedane","A3","France",47.45,6.59,355,3,6,0.548016747,8,0.451983252,2.342030996,-5.168065,9.852126992,813.5504718,338.9003698,1288.200574,18.54347277,12.73609087,24.35085467,-13.15038262,-29.8198688,3.519103568,31.69385539,13.02124797,50.3664628,-269.3194909,-668.0850836,129.4461017,-86.7225979,-286.3728312,112.9276354,384.2699686,-349.7150912,1118.255028,-1.11049771,-4.647011203,2.426015783,2.131392486,134.7074207,1.648156051,4.730860647,5.299353718,113.1711217,56.66146043,208.3076225,1.003675358,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"3","Abri de Rochedane_A4",-12857,-12631,"Abri de Rochedane","A4","France",47.45,6.59,355,5,6,0.66100542,8,0.338994579,2.542911011,-5.024195587,10.11001761,828.0437533,349.7904899,1306.297017,18.99971273,13.14824586,24.8511796,-13.27698423,-30.07301173,3.519043272,32.27669696,13.46234214,51.09105177,-269.458636,-671.2513359,132.3340639,-75.34333781,-276.5091549,125.8224793,379.5641376,-359.9927458,1119.121021,-1.1571617,-4.720521555,2.406198156,2.180040443,137.7820496,1.68577438,4.838840152,5.42030879,115.7541954,57.95472964,213.0621387,1.026583741,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"4","Alice and Gwendoline Cave_NA",-12809.5,-12587.5,"Alice and Gwendoline Cave",NA,"UK",52.754,-9.043,21,2,9,1,8,2.38e-17,-11.3771,-18.20622841,-4.547971588,153.7649685,-277.8468909,585.3768279,4.623195669,-0.6576099,9.904001238,-25.05780361,-40.21580715,-9.899800069,29.68099928,12.70150476,46.6604938,-628.0177001,-990.6257732,-265.4096269,-467.6306989,-649.1779229,-286.0834748,314.2422084,-353.1897697,981.6741864,0.139408402,-3.076436613,3.355253417,1.469753254,92.89076093,1.136525878,3.262279413,3.654297563,78.03988491,39.07228084,143.6435607,0.692108625,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"5","Broken cavern_lwr7",-12547.5,-11394.5,"Broken cavern","lwr7","UK",50.51,-3.66,80,8,8,0.995135864,6,0.004858476,-1.99710553,-8.736723445,4.742512385,682.5355298,256.5808772,1108.490182,15.10359856,9.89200937,20.31518775,-17.96493212,-32.92425724,-3.005606997,33.06853068,16.31158916,49.82547221,-389.8337151,-747.6890252,-31.97840495,-158.9192933,-338.0869484,20.2483617,324.5110094,-334.1728291,983.194848,0.523579264,-2.650115148,3.697273675,1.365214975,86.28377423,1.055688868,3.030245177,3.394380483,72.48918776,36.29320963,133.4267093,0.64288142,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"6","Direkli_NA",-12723,-9550,"Direkli",NA,"Turkey",37.85,36.616,1199,4,6,0.690870754,4,0.309129246,17.12871716,10.0825615,24.17487281,1576.740834,1131.412504,2022.069163,30.40935182,24.96072415,35.85797949,4.355937138,-11.28378231,19.99565658,26.05341468,8.534317934,43.57251143,86.17621659,-287.9554107,460.3078439,193.3558994,6.039169823,380.6726289,321.9073479,-366.7353783,1010.550074,3.701838045,0.383794632,7.019881458,1.701460925,107.5350571,1.315700011,3.77658014,4.230400238,90.34292965,45.2320544,166.2890727,0.801220054,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"7","Dufaure_3",-12691.5,-10728.5,"Dufaure","3","France",43.498,-1.38,30,4,6,0.999651299,8,0.000216469,3.808829041,-3.336037275,10.95369536,1031.560454,579.9934531,1483.127455,20.45409363,14.92913531,25.97905195,-12.13240581,-27.99122445,3.726412823,32.58649945,14.82197502,50.35102387,-198.9427219,-578.3156157,180.4301719,28.11999876,-161.8208791,218.0608767,369.91006,-328.3799663,1068.200086,0.791075935,-2.57345045,4.15560232,1.799105747,113.7063663,1.391206473,3.993313589,4.473177884,95.5276031,47.82786829,175.8322051,0.847201121,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"8","Gamssulzenhöhle_120 - 150 cm",-13108,-12545,"Gamssulzenhöhle","120 - 150 cm","Austria",47.6822,14.2978,1300,7,6,0.999743003,8,0.000256858,10.03695547,2.606728546,17.4671824,964.8511919,495.2489431,1434.453441,24.79509898,19.04947796,30.54071999,-4.039565277,-20.53177326,12.4526427,28.83466425,10.36063803,47.30869048,-150.8371489,-545.361912,243.6876143,-21.74260801,-219.2695824,175.7843663,422.1336139,-304.0455932,1148.312821,-0.368381989,-3.867285039,3.13052106,2.061956039,130.318926,1.594462467,4.576738795,5.126711514,109.4842359,54.81554488,201.5213823,0.970977649,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"9","Grotta della Serratura_8a",-12001,-11207,"Grotta della Serratura","8a","Italie",39.999,15.386,5,4,4,0.999999993,6,6.74e-09,16.61979388,9.029671601,24.20991616,1791.661561,1311.95367,2271.369453,25.06166371,19.19239935,30.93092807,10.55286078,-6.294252565,27.39997412,14.50880293,-4.362776555,33.38038242,380.6317853,-22.38298449,783.6465551,316.9808492,115.2031776,518.7585208,647.3214067,-94.48487095,1389.127684,4.843365489,1.269167521,8.417563458,2.199477353,139.0104934,1.700804488,4.881982516,5.46863544,116.7862422,58.47144521,214.9617684,1.035736606,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"10","Grotta della Serratura_8b",-12538,-11405.5,"Grotta della Serratura","8b","Italie",39.999,15.386,5,5,4,0.999782765,6,0.000217235,10.08951548,2.86148853,17.31754243,1437.358424,980.5355376,1894.18131,23.56729999,17.9780355,29.15656449,-1.828529085,-17.87193192,14.21487374,25.39582908,7.424539544,43.36711861,62.97989907,-320.8085973,446.7683954,193.1092473,0.957606753,385.2608878,480.9883939,-225.4291798,1187.405968,3.431936165,0.028249336,6.835622995,1.87841372,118.7187573,1.452533477,4.16934638,4.670363997,99.73863992,49.93621088,183.5832202,0.884547344,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
