Site;Country;Biome;Lat;long;alt;MAT;Tp;Tmax;Tmin;Mta;It;Itc;P;D;;Rod_I;Rod_II;Rod_II/III;Rod_III;Rod_IV;Rod_V;Rod_VI;Rod_VII;Rod_VIII;Rod_IX;Rod_S;;EulRod_I;EulRod_II;EulRod_II/III;EulRod_III;EulRod_IV;EulRod_V;EulRod_VI;EulRod_VII;EulRod_VIII;EulRod_IX;EulRod_S
As.Suq;Saudi Arabia;3;21º09´N;42º01´E;1050;25.5;3060;33.2;16.8;16.4;591;591;105;12;;1.233000;4.933000;8.633000;49.378000;30.856000;1.233000;1.233000;1.233000;1.233000;0.000000;9;;1.009091;4.036364;7.063636;49.490909;27.518182;3.281818;3.281818;3.281818;1.009091;0.000000;11
Assuan;Egypt;3;23º58´N;33º40´E;194;26.5;3180;34.1;16.1;18;587;587;2;12;;3.600000;9.550000;11.929000;32.764000;31.571000;3.600000;3.600000;0.793000;2.579000;0.000000;14;;3.360000;8.913333;11.133333;37.246667;29.466667;3.360000;3.360000;0.740000;2.406667;0.000000;15
Bam;Iran;3;29º07´N;58º19´E;1061;23.1;2772;33.6;10.7;22.9;445;479;59;12;;2.000000;4.000000;21.490000;23.160000;34.820000;0.000000;3.330000;11.160000;0.000000;0.000000;10;;1.666667;3.333333;17.908333;24.850000;34.566667;0.000000;2.775000;14.850000;0.000000;0.000000;12
Faya.Largeau;Chad;3;17º55´N;19º06´E;245;28.3;3396;34;19.5;14.5;673;673;17;12;;0.000000;0.000000;16.667000;66.667000;16.667000;0.000000;0.000000;0.000000;0.000000;0.000000;3;;8.325000;8.325000;20.825000;50.000000;12.500000;0.000000;0.000000;0.000000;0.000000;0.000000;4
Mascate;Oman;3;23º37´N;58º35´E;4;28.5;3420;34.5;22;12.5;725;725;106;12;;5.080000;11.740000;18.400000;21.740000;28.400000;5.080000;5.080000;2.220000;2.220000;0.000000;5;;3.628571;8.385714;13.142857;34.571429;25.042857;3.628571;3.628571;6.342857;1.585714;0.000000;7
Smara;Morocco;3;26º44´N;11º26´W;140;21.7;2604;27.7;14.8;12.9;513;513;36;12;;3.571000;8.329000;8.329000;35.714000;44.043000;0.000000;0.000000;0.000000;0.000000;0.000000;7;;5.830000;9.160000;9.160000;35.000000;35.830000;0.000000;0.000000;5.000000;0.000000;0.000000;10
Tamanrasset;Algeria;3;22º44´N;5º36´E;1320;21.2;2544;28.5;11.7;16.8;446;446;43;12;;0.000000;4.163000;8.325000;47.913000;39.575000;0.000000;0.000000;0.000000;0.000000;0.000000;8;;0.000000;4.162500;8.325000;47.912500;39.575000;0.000000;0.000000;0.000000;0.000000;0.000000;8
Aleppo;Syria;4;36º11´N;37º13´E;395;17.3;2076;28.4;6.1;22.3;295;323;341;6.8;;1.210000;3.748000;6.921000;5.335000;39.611000;2.400000;17.233000;11.952000;9.414000;2.143000;21;;1.016000;3.148000;5.813333;5.813333;37.605333;5.016000;17.476000;14.372000;7.908000;1.800000;25
Esfahan;Iran;4;32º37´N;51º40´E;1598;16.1;1932;29.4;3.6;25.8;233;296;301;7.4;;1.637000;2.689000;7.511000;11.900000;41.279000;0.584000;10.668000;16.105000;6.284000;1.316000;19;;1.555000;2.555000;7.135000;12.970000;40.880000;0.555000;10.135000;16.965000;5.970000;1.250000;20
Port.St.Louis.du.Rhones;France;4;43º28´N;4º46´E;2;14.2;1704;23;6.2;16.8;266;266;620;3.9;;0.000000;0.000000;0.000000;0.000000;32.490000;0.000000;32.490000;10.830000;24.160000;0.000000;10;;0.841176;0.841176;0.841176;0.841176;28.482353;1.470588;35.835294;11.329412;16.858824;2.647059;17
Potenza;Italy;4;40º38´N;15º46´E;823;12.4;1488;21.6;3.8;17.8;200;200;799;2;;2.043000;2.043000;2.043000;2.043000;18.700000;5.614000;30.600000;10.714000;21.414000;4.757000;7;;1.787500;1.787500;1.787500;1.787500;30.637500;5.581250;29.593750;11.518750;12.181250;3.331250;16
Sanlucar.de.Barrameda;Spain;4;36º47´N;6º21´W;30;16.9;2028;24.5;10.3;14.2;375;375;479;5.3;;2.822000;2.822000;2.822000;2.822000;34.300000;5.600000;23.189000;9.567000;16.044000;0.000000;9;;2.835714;2.835714;2.835714;2.835714;35.214286;3.600000;28.071429;8.600000;11.742857;1.428571;14
Tripoli;Libya;4;37º31´N;22º21´E;661;13.7;1644;23.1;5.3;17.8;243;243;932;3.2;;1.788000;1.788000;1.788000;1.788000;29.275000;4.913000;29.275000;13.950000;12.913000;2.500000;8;;1.300000;1.300000;1.300000;1.300000;34.472727;5.845455;25.381818;14.236364;11.209091;3.636364;11
Tunis;Tunisia;4;36º50´N;10º14´E;3;18.5;2220;26.7;11;15.7;404;404;860;4.9;;3.877000;3.877000;6.438000;16.054000;58.362000;1.954000;3.877000;2.777000;2.777000;0.000000;13;;3.594444;3.594444;5.444444;17.944444;51.277778;1.411111;9.150000;5.577778;2.005556;0.000000;18
Batumi;Georgia;5;41º37´N;41º38´E;3;14.2;1704;22.2;6.3;15.9;268;268;2393;0;;0.694000;0.694000;0.694000;0.694000;20.063000;10.588000;29.956000;15.894000;15.381000;5.313000;16;;0.426923;0.426923;0.426923;0.426923;18.757692;18.053846;28.050000;18.434615;11.069231;3.911538;26
Duyun;China;5;26º13´N;107º28´E;800;16.9;2028;25.8;6.6;19.2;301;307;1224;0;;17.733000;28.085000;2.285000;0.770000;0.770000;25.812000;15.615000;3.315000;5.588000;0.000000;33;;17.337500;25.670000;2.510000;0.635000;0.635000;28.377500;16.840000;2.735000;5.235000;0.000000;40
Foochow;China;5;26º05´N;119º18´E;88;19.8;2376;28.5;10.7;17.8;412;412;1390;0;;10.800000;27.953000;4.435000;1.494000;2.965000;29.424000;14.724000;2.612000;5.553000;0.000000;17;;11.123810;25.009524;4.780952;1.209524;2.400000;33.342857;15.490476;2.114286;4.495238;0.000000;21
Kagoshima;Japan;5;31º34´N;130º33´E;4;16.8;2016;27.1;6.6;20.5;300;313;2337;0;;4.892000;2.117000;2.117000;2.117000;4.200000;32.250000;36.417000;2.592000;11.617000;1.667000;12;;3.452941;1.494118;1.494118;1.494118;2.964706;35.705882;34.723529;3.005882;11.335294;4.311765;17
Pingnan;China;5;23º23´N;110º03´E;39;22;2640;29;12;17;460;460;1760;0;;17.329000;37.564000;4.364000;0.793000;0.793000;26.850000;6.386000;3.650000;2.221000;0.000000;14;;17.211765;36.817647;5.064706;0.652941;0.652941;27.994118;6.729412;3.005882;1.829412;0.000000;17
Shangrao;China;5;28º26´N;117º56´E;70;18.3;2196;29.1;6.5;22.6;313;344;1755;0;;11.832000;22.814000;1.155000;1.155000;1.155000;26.223000;22.286000;4.973000;8.382000;0.000000;22;;11.082143;21.496429;1.800000;0.907143;0.907143;30.721429;21.378571;5.096429;6.585714;0.000000;28
