"Taxon";"I";"II";"II.III";"III";"IV";"V";"VI";"VII";"VIII";"IX";"Ordre"
"1";"Anourosorex_squamipes";0.25;0.25;0;0;0;0.25;0.25;0;0;0;"EULIPOTYPHLA"
"2";"Atelerix_algirus";0;0;0;0;1;0;0;0;0;0;"EULIPOTYPHLA"
"3";"Chimarrogale_himalayica";0;0;0;0;0;0.5;0.5;0;0;0;"EULIPOTYPHLA"
"4";"Chimmarogale_platycephala";0;0;0;0;0;0.5;0.5;0;0;0;"EULIPOTYPHLA"
"5";"Crocidura_attenuata";0.25;0.25;0;0;0;0.25;0.25;0;0;0;"EULIPOTYPHLA"
"6";"Crocidura_dsinezumi";0;0;0;0;0;0.5;0.5;0;0;0;"EULIPOTYPHLA"
"7";"Crocidura_fuliginosa";0.333;0.333;0;0;0;0.333;0;0;0;0;"EULIPOTYPHLA"
"8";"Crocidura_lasiura";0;0;0;0;0;0.5;0.5;0;0;0;"EULIPOTYPHLA"
"9";"Crocidura_leucodon";0;0;0;0;0.25;0.25;0.25;0.25;0;0;"EULIPOTYPHLA"
"10";"Crocidura_pachyura";0;0;0;0;0;0;1;0;0;0;"EULIPOTYPHLA"
"11";"Crocidura_russula";0;0;0;0;0.5;0;0.5;0;0;0;"EULIPOTYPHLA"
"12";"Crocidura_serezkyensis";0;0;0;0;0;0;0;1;0;0;"EULIPOTYPHLA"
"13";"Crocidura_shantungensis";0;0;0;0;0;0;0.5;0.5;0;0;"EULIPOTYPHLA"
"14";"Crocidura_sibirica";0;0;0;0;0;0;0;0.5;0.5;0;"EULIPOTYPHLA"
"15";"Crocidura_suaveolens";0;0;0;0;0.25;0.25;0.25;0.25;0;0;"EULIPOTYPHLA"
"16";"Crocidura_tanakae";0;0.5;0;0;0;0.5;0;0;0;0;"EULIPOTYPHLA"
"17";"Crocidura_tarfayensis";0;0;0;1;0;0;0;0;0;0;"EULIPOTYPHLA"
"18";"Crocidura_viaria";0.333;0.333;0.333;0;0;0;0;0;0;0;"EULIPOTYPHLA"
"19";"Crocidura_vorax";0;0.25;0;0;0;0.25;0.25;0;0.25;0;"EULIPOTYPHLA"
"20";"Crocidura_whitakeri";0;0;0;0;0.5;0;0;0.5;0;0;"EULIPOTYPHLA"
"21";"Diplomesodon_pulchellus";0;0;0;0;0;0;0;1;0;0;"EULIPOTYPHLA"
"22";"Dymecodon_pilirostris";0;0;0;0;0;0;0.333;0;0.333;0.333;"EULIPOTYPHLA"
"23";"Erinaceus_amurensis";0;0;0;0;0;0.333;0.333;0.333;0;0;"EULIPOTYPHLA"
"24";"Erinaceus_concolor";0;0;0;0;0.25;0.25;0.25;0.25;0;0;"EULIPOTYPHLA"
"25";"Erinaceus_europaeus";0;0;0;0;0.5;0;0.5;0;0;0;"EULIPOTYPHLA"
"26";"Erinaceus_roumanicus";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"EULIPOTYPHLA"
"27";"Hemiechinus_auritus";0;0;0;0.333;0.333;0;0;0.333;0;0;"EULIPOTYPHLA"
"28";"Mogera_latouchei";0;0;0;0;0;1;0;0;0;0;"EULIPOTYPHLA"
"29";"Mogera_robusta";0;0;0;0;0;0;1;0;0;0;"EULIPOTYPHLA"
"30";"Mogera_wogura";0;0;0;0;0;1;0;0;0;0;"EULIPOTYPHLA"
"31";"Neomys_anomalus";0;0;0;0;0.5;0;0.5;0;0;0;"EULIPOTYPHLA"
"32";"Neomys_fodiens";0;0;0;0;0;0;0.25;0.25;0.25;0.25;"EULIPOTYPHLA"
"33";"Neomys_teres";0;0;0;0;0;0;0.5;0.5;0;0;"EULIPOTYPHLA"
"34";"Neotetracus_sinensis";0.333;0;0;0;0;0.333;0.333;0;0;0;"EULIPOTYPHLA"
"35";"Paraechinus_aethiopicus";0;0;0;1;0;0;0;0;0;0;"EULIPOTYPHLA"
"36";"Paraechinus_hypomelas";0;0;0;0.333;0.333;0;0;0.333;0;0;"EULIPOTYPHLA"
"37";"Scaptochirus_moschatus";0;0;0;0;0;0;0.5;0.5;0;0;"EULIPOTYPHLA"
"38";"Sorex_antinorii";0;0;0;0;0.5;0;0.5;0;0;0;"EULIPOTYPHLA"
"39";"Sorex_araneus";0;0;0;0;0;0;0.333;0;0.333;0.333;"EULIPOTYPHLA"
"40";"Sorex_asper";0;0;0;0;0;0;0;1;0;0;"EULIPOTYPHLA"
"41";"Sorex_caecutiens";0;0;0;0;0;0;0.333;0;0.333;0.333;"EULIPOTYPHLA"
"42";"Sorex_camtschaticus";0;0;0;0;0;0;0;0;1;0;"EULIPOTYPHLA"
"43";"Sorex_coronatus";0;0;0;0;0;0;1;0;0;0;"EULIPOTYPHLA"
"44";"Sorex_daphaenodon";0;0;0;0;0;0;0.5;0;0.5;0;"EULIPOTYPHLA"
"45";"Sorex_gracillimus";0;0;0;0;0;0;0.5;0;0.5;0;"EULIPOTYPHLA"
"46";"Sorex_isodon";0;0;0;0;0;0;0;0;1;0;"EULIPOTYPHLA"
"47";"Sorex_minutissimus";0;0;0;0;0;0;0.333;0.333;0.333;0;"EULIPOTYPHLA"
"48";"Sorex_minutus";0;0;0;0;0.2;0;0.2;0.2;0.2;0.2;"EULIPOTYPHLA"
"49";"Sorex_raddei";0;0;0;0;0;0.333;0.333;0.333;0;0;"EULIPOTYPHLA"
"50";"Sorex_roboratus";0;0;0;0;0;0;0;0;0.5;0.5;"EULIPOTYPHLA"
"51";"Sorex_samniticus";0;0;0;0;1;0;0;0;0;0;"EULIPOTYPHLA"
"52";"Sorex_satunini";0;0;0;0;0.25;0.25;0.25;0.25;0;0;"EULIPOTYPHLA"
"53";"Sorex_tundrensis";0;0;0;0;0;0;0;0;0.5;0.5;"EULIPOTYPHLA"
"54";"Sorex_unguiculatus";0;0;0;0;0;0;0.5;0;0.5;0;"EULIPOTYPHLA"
"55";"Sorex_volnuchini";0;0;0;0;0.25;0.25;0.25;0.25;0;0;"EULIPOTYPHLA"
"56";"Suncus_etruscus";0.143;0.143;0.143;0.143;0.143;0;0.143;0.143;0;0;"EULIPOTYPHLA"
"57";"Suncus_murinus";0.25;0.25;0.25;0;0;0.25;0;0;0;0;"EULIPOTYPHLA"
"58";"Talpa_altaica";0;0;0;0;0;0;0.5;0;0.5;0;"EULIPOTYPHLA"
